bytes,repetitions,time,bandwidth,time[predicted]
0,1000,5.17,0.0,6.04
1,1000,5.25,0.19,6.040225835591689
2,1000,5.23,0.38,6.040451671183378
4,1000,5.24,0.76,6.040903342366756
8,1000,5.24,1.53,6.041806684733514
16,1000,5.25,3.05,6.043613369467027
32,1000,5.22,6.12,6.047226738934056
64,1000,5.26,12.17,6.054453477868112
128,1000,5.33,24.04,6.068906955736224
256,1000,5.33,48.02,6.097813911472447
512,1000,5.37,95.26,6.155627822944896
1024,1000,5.91,173.33,6.271255645889792
2048,1000,5.84,350.64,6.502511291779584
4096,1000,6.65,615.69,6.965022583559168
8192,1000,7.11,1151.44,7.890045167118338
16384,1000,9.25,1771.22,9.740090334236674
32768,1000,14.84,2207.74,13.440180668473351
65536,640,29.38,2230.45,20.840361336946703
131072,320,41.44,3163.27,35.6407226738934
262144,160,60.1,4361.72,65.24144534778681
524288,80,93.09,5632.26,124.44289069557361
1048576,40,155.9,6725.75,242.84578139114723
2097152,20,285.13,7354.98,479.6515627822945
4194304,10,594.83,7051.24,953.263125564589
8388608,5,1466.8,5718.97,1900.4862511291778
16777216,2,3196.73,5248.24,3794.932502258356
33554432,1,6349.5,5284.58,7583.8250045167115
67108864,1,12715.7,5277.64,15161.610009033424
134217728,1,25229.62,5319.85,30317.180018066847
268435456,1,50107.39,5357.2,60628.32003613369
