#header_line 1: mpirun -np 2 --mca pml ob1 --mca btl tcp,self --map-by socket --report-bindings ./IMB-MPI1 PingPong -msglog 28 2>/dev/null 
#header_line 2: 
#header_line 3:  latency 9.61e-6, bandwidth 2123
bytes,repetitions,time,bandwidth,time[predicted]
0,1000,8.09,0.0,9.61
1,1000,8.15,0.12,9.610471031559113
2,1000,8.19,0.24,9.610942063118229
4,1000,8.16,0.49,9.611884126236458
8,1000,8.17,0.98,9.613768252472916
16,1000,8.17,1.96,9.61753650494583
32,1000,8.17,3.92,9.625073009891663
64,1000,8.19,7.81,9.640146019783325
128,1000,8.55,14.97,9.67029203956665
256,1000,8.56,29.91,9.730584079133301
512,1000,8.65,59.18,9.851168158266603
1024,1000,9.63,106.32,10.092336316533208
2048,1000,9.21,222.43,10.574672633066415
4096,1000,10.93,374.78,11.53934526613283
8192,1000,11.71,699.35,13.468690532265661
16384,1000,15.83,1035.32,17.32738106453132
32768,1000,26.17,1252.23,25.044762129062644
65536,640,58.1,1127.94,40.47952425812529
131072,320,81.26,1612.98,71.34904851625059
262144,160,123.72,2118.79,133.0880970325012
524288,80,196.71,2665.33,256.5661940650024
1048576,40,327.39,3202.87,503.52238813000463
2097152,20,622.84,3367.09,997.4347762600094
4194304,10,1227.27,3417.59,1985.259552520019
8388608,5,2424.85,3459.43,3960.909105040038
16777216,2,5036.86,3330.89,7912.208210080075
33554432,1,10381.53,3232.13,15814.80642016015
67108864,1,20364.3,3295.42,31620.0028403203
134217728,1,40467.41,3316.69,63230.39568064059
268435456,1,80247.47,3345.1,126451.1813612812
